"","RUL","Predicted_RUL"
"1",112,85.5564471231751
"2",98,87.8882940136104
"3",69,87.2135492030589
"4",82,79.355516374541
"5",91,83.0714565545292
"6",93,87.3157156472613
"7",91,87.7309118165683
"8",95,85.5051061584225
"9",111,90.3073349048027
"10",96,88.599056331589
"11",97,81.1818825174368
"12",124,84.6195564830796
"13",95,95.9942606539138
"14",107,79.5231528743367
"15",83,84.0757143933591
"16",84,89.6790082022056
"17",50,84.8257961706684
"18",28,81.5699355005864
"19",87,82.2521675790235
"20",16,82.6135469931082
"21",57,79.2158776225482
"22",111,85.0634306663841
"23",113,84.9469227541138
"24",20,85.4364199610747
"25",145,78.7376689255016
"26",119,75.1036537740455
"27",66,87.3283307608956
"28",97,87.866151961459
"29",90,84.2729086057237
"30",115,92.0765694042859
"31",8,91.2330488457122
"32",48,89.4966382589768
"33",106,89.9831076733594
"34",7,87.0591130053784
"35",11,83.0456588338658
"36",19,81.05845434945
"37",21,83.6609842112132
"38",50,83.4226628565135
"39",142,86.460996498006
"40",28,91.9794092494888
"41",18,86.6478251328894
"42",10,86.824703324785
"43",59,82.0349603359269
"44",109,81.4754342744033
"45",114,87.3186203301078
"46",47,86.9662578624055
"47",135,81.1783881353963
"48",92,92.1496670637633
"49",21,85.9126848702345
"50",79,84.2168609000628
"51",114,84.1102113550032
"52",29,88.8781144343023
"53",26,88.5840119268569
"54",97,88.5423114095773
"55",137,81.1059677875815
"56",15,80.9200664822067
"57",103,85.0791236780629
"58",37,90.9361569951849
"59",114,86.6955712867603
"60",100,84.5662144229527
"61",21,86.740712594129
"62",54,87.4549371777318
"63",72,84.1205181223995
"64",28,84.5421152247022
"65",128,90.8830346692525
"66",14,89.7135788343208
"67",77,89.3968555119557
"68",8,84.1096923722389
"69",121,89.2468933435039
"70",94,89.9129001143161
"71",118,85.5314385920677
"72",50,83.8520911440729
"73",131,89.3184226086947
"74",126,84.9613028425632
"75",113,91.7177684515223
"76",10,89.4327881924902
"77",34,80.4076634041614
"78",107,86.7664580816799
"79",63,82.5044754650184
"80",90,81.7833890375568
"81",8,87.2720812784064
"82",9,77.1269439378939
"83",137,88.1794289235669
"84",58,87.7417820365852
"85",118,83.9777572655896
"86",89,86.9943008158042
"87",116,85.2911213412271
"88",115,80.8854710811783
"89",136,88.8421001281547
"90",28,85.7814115461886
"91",38,87.3054913168685
"92",20,83.0513125028385
"93",85,85.7295591365435
"94",55,83.8580312322673
"95",128,88.5933110424339
"96",137,83.252485475664
"97",82,85.810081548064
"98",59,83.9726819284027
"99",117,79.8048168765608
"100",20,84.4777728798463
"101",73.92373895,85.852823557943
"102",78.13056411,86.6821658466305
"103",78.63522282,84.4745953468298
"104",81.57188972,82.216378729604
"105",69.52326548,88.7489812951318
"106",65.66929503,81.4679031446784
"107",64.7566466,83.7008864445572
"108",74.60254651,92.5282072464237
"109",84.60409291,83.9384118753139
"110",72.52796093,89.9828892259171
"111",67.30297513,84.3179607182896
"112",79.56604993,79.6638700734308
"113",71.62494778,79.6025891117561
"114",79.926555,91.9503368662683
"115",70.47009617,83.5739838370467
"116",88.98086596,88.4378898170122
"117",67.34963027,77.942400941193
"118",75.95613841,85.5327961227825
"119",79.98615274,81.3612637341078
"120",78.30895704,82.4695161576577
"121",77.91506253,87.8127793889291
"122",85.02265059,84.2252743760923
"123",69.20975276,85.0977205128389
"124",74.96738747,89.625984559071
"125",81.6192349,83.1085741316977
"126",80.52269168,85.8477077835586
"127",70.48380723,79.7807259272181
"128",77.56077735,85.7399124158104
"129",63.28724187,81.1615118947237
"130",77.5669441,90.9833413375677
"131",71.94685768,86.3682699253354
"132",86.58810982,82.0459981547576
"133",72.0331719,89.7168048396002
"134",76.42145444,88.1777836290006
"135",81.48742641,95.2132710420423
"136",86.77331049,83.9610532819236
"137",86.36973557,90.8007445833345
"138",79.69833007,84.2567515024835
"139",75.26251555,85.9721673525238
"140",73.88856853,90.4919612174413
"141",59.0713029,88.1649209554051
"142",74.51547129,88.0447084727318
"143",75.65897073,86.2849535837749
"144",91.56055007,84.9903515649764
"145",96.0991755,88.1798520402932
"146",75.85542565,81.5650400850837
"147",70.20704809,90.3590196406796
"148",69.83425438,84.6598930470949
"149",67.12756169,83.117576399944
"150",73.28830938,82.71968619294
"151",84.89278434,82.6747462820484
"152",81.63771324,82.6493732499165
"153",83.77672441,85.4045153982402
"154",59.30673468,81.93635150412
"155",60.28155862,89.5368324774231
"156",62.66694364,81.1920020250379
"157",80.42269178,93.5406157065895
"158",63.11790031,88.9581983399855
"159",77.59763414,82.882590180691
"160",68.40359299,87.2008439865574
"161",77.59282059,87.9078891851098
"162",71.08937246,75.4652273684963
"163",70.66497447,84.7611443861355
"164",62.0389548,82.2275187791991
"165",80.31140071,92.7198360833799
"166",76.70422533,84.7584199825713
"167",59.22793948,85.87838202123
"168",95.71717357,82.3511356810345
"169",72.23757223,84.7311134593704
"170",70.22936834,83.7667641186442
"171",68.82962297,83.216949655428
"172",78.7215652,89.974387540741
"173",61.15367852,88.7656329220718
"174",72.3988665,86.053025689105
"175",72.29315721,82.5101310460541
"176",74.08205325,85.4818751750506
"177",90.82004492,93.3278958629348
"178",70.64694482,89.9781954865354
"179",79.60084495,89.881932273458
"180",80.25434889,90.1437906065105
"181",74.49271183,83.4364842056131
"182",76.32986062,86.2325157752371
"183",71.39042761,85.6864086568159
"184",73.66227745,81.4653140477864
"185",63.39638412,79.319912499928
"186",50.71992158,81.3050288194769
"187",83.03564463,84.0433003044457
"188",76.34853553,80.9852809907835
"189",68.7764031,90.572481292051
